stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,4.09,4.09,0,0,4.09,0,24.52,0,0,0
72hpf,0,1.07,0,0,1.07,2.14,1.07,1.07,0,1.07
21Day,2.68,2.68,1.34,1.34,0,4.02,2.68,0,0,0
22Month,0,0,0,0,0.55,0,0,0,1.09,0
