stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,28.6,0,4.09,0,0,0,8.17,4.09,8.17,57.21,0,81.73,4106.84,4.09,0,0,0,0,4.09,0,0
72hpf,3.21,4.28,0,5.35,9.63,0,0,0,0,1.07,10.7,0,8.56,0,492.1,476.06,9.63,0,0,8.56,1.07,0,0,0
21Day,1.34,0,1.34,4.02,1.34,0,0,1.34,1.34,0,2.68,0,2.68,1.34,84.33,84.33,0,10.71,0,5.35,1.34,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
