stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,0,24.52,8.17,220.67,0,8.17,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,1.07,0,4.28,34.23,103.77,1.07,3.21,0,0,3.21,0
21Day,2.68,2.68,6.69,1.34,2.68,1.34,0,5.35,0,0,1.34,1.34,5.35,21.42,48.19,0,2.68,2.68,0,1.34,1.34
3Month,0,0,0,0,0,0,1.28,0,0,0.64,0,0.32,0,0,0,0,0,0.32,0.32,0,0
22Month,0,0,0,0,0,0,2.73,0,0.55,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0
