stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,24.52,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,16.05,2.14,0,3.21,0,10.7,0,0,0,0,1.07,0,0,0,2.14,17.12,2.14,6.42,0,2.14,2.14,1673.15,126.24,1.07,9.63,18.19,0,0,26.74,1.07,1.07,1.07,0,0
21Day,9.37,0,1.34,13.39,1.34,18.74,4.02,0,0,0,0,0,4.02,4.02,2.68,5.35,0,14.72,0,0,1.34,588.95,61.57,0,5.35,5.35,12.05,0,17.4,2.68,5.35,1.34,0,4.02
3Month,0,0.64,0,1.6,0,0,0,0.32,0.96,0,3.52,0.32,0,2.24,0.32,0,0.64,0.64,0.64,0,0,0.96,0,0.64,0,0.32,0,1.28,0.32,0,0,0,0.32,1.6
22Month,0.55,0,0,1.64,0,0,0,0,1.09,1.09,30.61,1.09,0.55,2.19,0,0,1.64,3.28,1.09,0.55,0,2.73,0.55,0,0.55,0,0.55,1.09,0,0.55,0,0,0,0.55
