stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0,2.56,0,0.32,0.96,0,4.48,2.56,0,0.96,0.32,0.96,0.32,0.64,0,0,0.32,0,0.32,0,0.32,0,0,0.32,0.64,0,1.28,2.24
22Month,0,1.09,1.09,4.92,1.09,0,12.57,2.19,38.27,2.19,0.55,3.83,0.55,0.55,2.73,6.01,0.55,2.73,1.64,0.55,0,0.55,0,1.64,0,0,0.55,0.55,0,0.55
