stage,Cardiomyocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,28.88,3.21,1.07,0,0,1.07,1.07
21Day,1.34,0,0,0,1.34,1.34,0,1.34,1.34,0,2.68,0,0,0
3Month,0,0.32,0.32,0.96,0,0.64,0.32,0,0,0,0,1.6,0,0
22Month,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
