stage,Endothelial_cell,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,1.34,0,0
3Month,0,0.64,0.32,0.32,0,0.32,0.32,0.32,0,0.64,0,0,0,0,0.32,0.32
22Month,0,0.55,0,0,0.55,2.73,0,0,0.55,0,0,0,0,0,0,0
