stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,4.28,0,0,0,0,0,0,11.77
21Day,135.19,0,1.34,4.02,1.34,0,0,0,0,2.68,66.93,0,1.34,1.34,0,17.4,0,0,1.34,0,17.4,5.35,0,2.68,2.68,14.72,0,0,536.75
3Month,0,0.32,0.32,11.52,0,1.92,3.52,0,6.72,4.16,0.32,5.44,0.32,4.16,15.04,3.52,0.32,0,0.32,0.32,0.96,0,0.32,0,0.32,1.6,3.52,0.32,506.8
22Month,0,0,0.55,3.28,0,0,8.2,0.55,59.04,0,0.55,3.83,1.09,0,7.11,1.09,0,0.55,0,0,0,0,0,0.55,0,0,2.19,0,195.16
