stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,16.06,0,1.34,0,1.34,0,0,1.34,0,0,5.35,6.69,1.34,37.48,0,2.68,0,0,0,1.34,0,0,0,1.34
3Month,0.32,8.32,0.32,0.32,0,48.63,3.2,9.6,0,1.92,0.64,1.6,4.48,0.32,7.68,1.28,0,0,0,0,0,0.32,0.96,0.64,0.32
22Month,0.55,17.49,2.73,0,0.55,158.53,18.04,12.57,3.28,1.64,0.55,1.64,32.25,2.19,14.21,0,0.55,0,1.09,1.09,0,0.55,0.55,0.55,0.55
