stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,13.39,0,0,0,0,0,0,0,2.68,0,0,10.71,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,2.88,99.82,0.64,0.64,37.11,1.92,0,12.16,2.56,0,47.03,3.52,9.28,8,2.56,0.32,7.04,4.8,1.6,0.32,3.2,0,2.56,6.4,2.24,4.48,8.96
22Month,1.09,1.09,2.73,0.55,0,0,1.64,1.09,12.03,0.55,0,3.83,0,1.09,1.09,1.09,0,1.64,0.55,0,0,0,0,0,0,0,0,0.55
