stage,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
72hpf,1.07,2.14,0,0,28.88,1.07,2.14,0,0
21Day,1.34,0,1.34,1.34,16.06,0,0,1.34,1.34
