stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,731.47,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1104.02,0,3.21,1.07,10.7,0,0,0,0,0,0,0,4.28,0,5.35,11.77,1.07,11.77,0,1.07,0,0,42.79,25.67,0,0,0,23.54,0,0,2.14,1.07,1.07,0,0,0
21Day,2.68,311.88,0,1.34,0,4.02,0,0,1.34,1.34,0,4.02,0,14.72,1.34,1.34,5.35,26.77,5.35,0,0,0,0,12.05,4.02,0,1.34,0,2.68,9.37,1.34,0,1.34,0,0,0,1.34
3Month,0.96,1348.59,0.96,19.2,0.32,0,0.64,0,2.24,6.4,0,29.12,20.16,4.16,13.12,6.08,11.2,75.83,8.96,4.16,0,3.2,2.88,2.24,0.32,0.96,1.92,0,0.32,5.76,19.84,0.96,0,0.32,34.87,5.44,6.72
22Month,0.55,1695.72,0.55,14.76,0,0,0.55,1.64,2.73,10.39,2.73,88.01,8.75,24.05,10.39,1.09,4.92,109.33,7.65,1.64,3.28,7.65,0,0,0,1.09,3.28,2.73,0.55,0.55,34.44,0.55,0,0,9.29,0,6.01
