stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,1.07,2.14,0,0,1.07,0
21Day,4.02,2.68,0,4.02,0,0,0,1.34,0,0,1.34,0,0,12.05
3Month,0,0,0.64,0,0.32,0,0,0,0.64,0,0.32,0,0,14.72
22Month,0,0.55,3.28,0.55,0,0.55,0,0.55,0.55,0,0,0.55,0,2.73
