stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,12.26,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,39.58,1.07,0,1.07,0,0,14.98,3.21,0,0,3.21,1.07,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,0,20.08,4.02,0,4.02,0,4.02,0,0,0,4.02,1.34,9.37,20.08,17.4,10.71,0,1.34,0,16.06,1.34,1.34,0,1.34,1.34,0,0,0,0,1.34,0,0,5.35
3Month,0.32,0.96,0.32,11.2,0,0.32,0.64,2.56,8.64,0,13.44,15.68,0.32,8.32,0.32,6.08,51.51,3.2,0,0.96,1.28,0,0,0,0,0.32,0,24.64,0.96,0,0,0,119.66,4.16,8.32
22Month,0,3.28,0,6.01,0,1.09,0.55,1.09,15.85,2.19,98.94,14.76,2.73,12.03,0.55,1.64,58.49,3.28,3.28,0,0,0,0,0,0.55,0,0,6.01,0,0,0,0,19.68,0,9.29
