stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,2.14,32.09,6.42,0,1.07,0,1.07,0,0
21Day,1.34,0,0,24.09,4.02,1.34,0,2.68,4.02,1.34,1.34
22Month,0,4.37,0,0,0,0,0,0,0,0,0.55
