stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,482.2,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,276.01,0,0,0,0,0,0,0,0,6.42,0,4.28,0,0,16.05,3.21,0,1.07,0,0,1.07,0,1.07,0,0,0
21Day,200.78,1.34,1.34,5.35,0,0,2.68,5.35,2.68,1.34,0,8.03,0,1.34,8.03,2.68,0,2.68,1.34,0,0,2.68,0,0,0,0
3Month,0,0,0.32,0,0,0,1.28,0.32,0.64,0,0.32,0.96,0,0,0,0,0,0,0,5.44,0,0,0,1.6,3.2,0.32
22Month,0,0.55,0.55,0,1.64,0.55,30.61,1.09,3.28,0,0.55,0,0.55,0.55,0,0,0.55,0,0,3.28,0,0,0,0,0,0
