stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.49,6.42,0,0,2.14,0,0,2.14,0,0,0,0,0
21Day,0,1.34,0,4.02,1.34,8.03,1.34,0,0,0,5.35,4.02,0,0,4.02,0,0,1.34,0,104.41,8.03,1.34,1.34,1.34,2.68,0,1.34,4.02,1.34,0,0,4.02
3Month,0,0,0,1.6,0.64,0,0,0.64,0.32,0.32,8.64,0,1.28,0.32,0.32,0.64,0.96,0,0.64,0.96,0,0,0.64,0,0,0.32,0,0,0,0.32,0.96,0.64
22Month,0,0,0.55,0.55,0,0,0,0.55,2.19,5.47,3.28,0.55,0.55,0,0.55,0.55,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.09
