stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,8.17,0,24.52,0,0,0,20.43,0,0,12.26,81.73,12.26,0,0
72hpf,1.07,0,3.21,0,0,0,8.56,0,0,2.14,2.14,2.14,0,0
21Day,0,0,1.34,0,0,0,8.03,0,1.34,1.34,0,5.35,0,0
3Month,0,0.96,0,2.24,0.32,0,2.56,0.64,0,0,0,0,0.64,0
22Month,0,0,0.55,11.48,0.55,0.55,2.73,0,0,0,0,0,0,0.55
