stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,0.96,0,0,0,0,0,0,0.32,0.32,0.32,1.28,0
22Month,0.55,1.09,0.55,2.73,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0.55
