stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,79.16,1.07,2.14,0,0,0,0,0,0,0,512.43,0,3.21,0,0,0,0,20.33,11.77,0,0,3.21,0,0,2.14,0,2.14,0,0,0
21Day,1.34,0,0,58.9,0,2.68,0,0,0,1.34,1.34,1.34,0,155.27,0,2.68,0,0,1.34,0,2.68,1.34,0,2.68,2.68,5.35,0,0,1.34,1.34,0,0,0
3Month,0,0.64,0.32,10.88,0,0,0.32,0.64,1.92,5.76,1.92,1.92,0.32,286.03,0.96,1.6,0.32,0,0,0.64,0,0,0.64,0,0,1.28,1.6,0,0,0.32,0.64,1.6,1.28
22Month,0,0,0,1.09,0,0,0,0,1.09,10.39,0.55,1.09,0,45.37,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,1.64,0,0,0,0,0,0
