stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0.96,0.32,0,0.64,0.32,0,0.64,0.64,0.32,0,0.32,0,0,0,14.08,0.32,9.92,0.96
22Month,0.55,0.55,0,0.55,4.92,0,0.55,1.64,0,0,0,0,0,0,0,0,0,0,0
