stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,16.35,0,0,0
72hpf,0,0,0,0,0,0,3.21,12.84,0,1.07,0
21Day,1.34,0,0,1.34,1.34,1.34,1.34,4.02,1.34,0,0
3Month,0.32,0.32,0.64,0,0,0,0,0,0,0,0.32
