stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Macrophage,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,1.34,1.34,0,0,12.05
3Month,0,0.64,0,0,0,0.32,0,0,0.32,0.32,2.24
22Month,0,0,0,0.55,1.64,1.09,0,0,0,0,4.37
