stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,5.35,0,0,0,0,0
3Month,0.32,3.2,0.32,0.96,3.2,0.32,1.28,0,0.64,0.32,0.96,6.4,0.64,0.32,0.32,0,0.32,0,0.32,0.64
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
