stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,4.09,0,0,0,8.17,0,384.12,0,0,0,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,0,1.07,1.07,0,1.07,162.61,138,0,1.07,1.07,0,1.07,17.12,8.56,0,0
21Day,0,0,2.68,0,0,0,0,4.02,0,20.08,45.51,0,0,0,1.34,0,14.72,21.42,1.34,1.34
3Month,0,0,0,0,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,0.96,0
22Month,0,0.55,0,0.55,0,2.73,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0
