stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,7.49,0,4.28,1.07,0,0,31.02,3.21,3.21,0,0,0,0
21Day,4.02,0,6.69,0,0,0,0,0,0,0,8.03,0,16.06,0,1.34,0,16.06,1.34,10.71,1.34,0,0,0
3Month,0,0.32,1.6,0.32,0.32,0.32,0.64,0.32,1.6,0.32,0,0.64,0,0,0,0.32,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0,0,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
