stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,4.09,0,0,0,4.09,24.52,0,0,0,0,0,151.2,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,6.42,0,0,0,0,0,0,0,0,0,0,5.35,11.77,5.35,7.49,0,0,0,0,36.37,18.19,1.07,0,6.42,1.07,0,3.21,1.07,0,0,0,0
21Day,10.71,1.34,28.11,1.34,13.39,5.35,0,2.68,0,1.34,0,2.68,2.68,4.02,41.49,4.02,9.37,0,0,0,0,8.03,18.74,0,0,8.03,9.37,0,1.34,1.34,1.34,0,0,2.68
3Month,0,0.64,6.4,0.32,0,0.32,1.28,3.84,0,10.88,1.28,0,2.24,0.64,1.92,4.48,1.92,0.96,0,0.64,0.96,0,0,0.96,0,0.32,0.32,2.88,0,0,0,1.6,3.2,1.92
22Month,0,0.55,6.56,0,0,0.55,2.19,8.2,1.64,47.56,1.64,1.64,6.01,0,0,7.11,4.37,0,2.19,2.73,0,0,0,0.55,0.55,0,1.09,1.09,0,0,0,0.55,0,2.19
