stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,1.34,0,0,6.69,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0.32,2.88,31.99,88.63,4.48,145.26,6.4,0,31.99,10.56,0.64,1369.06,2.88,5.76,11.84,8.32,1.92,0.96,8.96,0.96,2.24,0,2.56,0.64,0.32,7.04,5.76,0.32,2.24,3.52,8.64
22Month,0,2.19,51.39,51.93,1.64,224.13,3.83,1.64,44.83,2.19,1.09,1139.23,0.55,1.09,14.76,4.37,0,3.28,3.28,1.09,0.55,0,4.37,1.64,0,1.64,5.47,1.64,0.55,0,3.28
