stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,4.09,40.86,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,4.28,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,1.34
3Month,0.32,0.96,9.6,2.56,2.24,8.96,2.24,0.32,4.48,2.56,3.2,3.52,0.64,0.96,0.32,0,0.32,0.64,0,0,3.2,0.32,312.91,0.32,0.32,0.64,132.14,2.24
22Month,0,1.09,2.19,1.09,0,13.12,0,0,3.28,0,0.55,1.09,0,0,0.55,0,0,0,1.09,0,0.55,0,111.52,0,0,0,0.55,0
