stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,0,124.1,33.16,0,0,3.21,0,0,2.14,13.91,2.14,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,4.02,0,0,0,14.72,12.05,0,0,1.34,0,1.34,4.02,5.35,0,0,0
3Month,0.32,0.32,0.32,1.92,0,0.64,3.84,0.64,0.32,1.92,0.96,1.28,0.32,1.6,0,0,0.32,4.48,0,0.32,0,0,0.96,106.86,0,0.32,0,0.32,48.95
22Month,0,1.09,0,0,0,1.09,5.47,0,0,2.19,0,0,0,4.37,0.55,0.55,0,0.55,0,0,0.55,0,0,49.75,0.55,1.64,0,0,0.55
