stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,4.28,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0,0.64,0,0,0,0,0,0.32,0.64
