stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,3.21,0,0,0,1.07,0,0,0,5.35,0,0,0,0,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,6.69,2.68,0,0,21.42,0,0,4.02,30.79,0,0,1.34,6.69,4.02,0,0,0,6.69,2.68,0,1.34,1.34,0,0,1.34,1.34,1.34,0,0,44.17
3Month,0.64,0.64,5.44,0,0,0.64,125.74,0,6.72,55.03,3.84,3.2,0.64,1.28,37.11,3.2,0.64,0.64,0.64,0.32,0,0.32,0,0.32,0.32,0.32,0,0,0,0.96,0.96,39.67
22Month,0,0,1.09,0,1.09,1.09,164.54,0.55,12.03,36.08,8.2,1.09,0,0,19.13,0.55,0,0.55,0,0.55,0,0,0,0,0.55,2.19,0,0.55,0,0,0,19.68
