stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,5.35,0,2.14,0,0,0,0,5.35,2.14,0,3.21,0,0,1.07,1.07,0,0,0
21Day,1.34,0,4.02,0,4.02,0,0,0,1.34,1.34,1.34,1.34,0,1.34,0,0,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0,2.88,0.32,0,0.64,11.2,0.64,0,1.92,0.32,1.28,1.28,2.88,0.32,0,0.32,0.64,0.32,0,0.64,0,0.64,7.36,0,0,0.96,5.12,1.28
22Month,0,0.55,1.09,0,0,0.55,7.65,0,0,0.55,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0
