stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,2.14,2.14,0,0,2.14,0,0
21Day,0,0,0,0,0,5.35,0,0,0,1.34,0,0
3Month,0.32,0,0.32,0,0,0,0,0,0,0,2.24,0.32
22Month,0,1.09,0,0,0.55,0,0,0.55,1.09,0,0.55,0
