stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,85.81,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,1.07,0,1.07,0,0,7.49,7.49,1.07,1.07,0,0,0
21Day,1.34,0,1.34,0,1.34,0,1.34,0,0,0,1.34,1.34,2.68,0,0,5.35,2.68,0,0,0,0,0
3Month,0,1.92,0,0.32,0,0,2.88,0,2.24,0.32,1.6,0.32,0.32,0,0.32,0.32,0,0,0.32,3.84,0.96,0.64
22Month,0,1.09,0,0,0,0.55,18.59,0,0.55,0,0,0.55,0,1.09,0.55,0,0,0,0,1.64,0,1.64
