stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,8.17,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,1.07,1.07,1.07,0,0,0,0,0,0,5.35,0,13.91,0,2.14,185.07,22.47,4.28,0,22.47,0,0,4.28,0,5.35,0,0
21Day,6.69,0,2.68,1.34,0,0,0,1.34,0,0,1.34,0,1.34,18.74,0,6.69,70.94,9.37,0,1.34,4.02,2.68,0,2.68,1.34,0,0,1.34
3Month,0,0.32,3.84,0,0,0.32,0.64,1.92,0.64,0.64,0.32,1.28,0.64,1.92,0.32,2.24,0.32,0,1.6,0,0.64,0,3.52,0,0,0,6.08,0.32
22Month,0,0,2.73,0.55,0,0.55,2.19,16.4,2.19,0,1.09,0.55,0,12.03,0,3.83,3.83,0,3.83,1.64,0,0,0,1.64,0,0,0,1.09
