stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,20.43,8.17,0,0,0,0,0,0,0,0,0,4.09,20.43,0,85.81,0,0,0,0,12.26,216.58,0,0,24.52,0,0,0,0,4.09
72hpf,1.07,5.35,0,2.14,0,0,0,0,0,1.07,0,0,3.21,1.07,38.51,0,1.07,0,0,22.47,49.21,0,1.07,134.79,0,0,48.14,0,4.28
21Day,36.14,10.71,1.34,4.02,0,1.34,0,0,1.34,0,1.34,2.68,2.68,2.68,76.3,0,0,4.02,0,8.03,22.76,0,5.35,174.01,5.35,0,17.4,2.68,1.34
3Month,0,17.92,0,0,1.28,1.6,0.32,4.8,0,0,2.56,1.92,4.48,0.96,54.71,18.88,0,9.6,1.28,0,0,0.96,0,18.88,0.64,0.64,0.64,0,0.32
22Month,0.55,10.93,0.55,0,1.09,1.09,3.83,26.79,0.55,1.09,0.55,0,0.55,0.55,48.65,2.73,0.55,4.37,0,0,0,0.55,1.09,12.03,0,0,2.19,0,1.09
