stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09
72hpf,0,1.07,1.07,0,0,0,9.63,1.07,0
21Day,1.34,13.39,0,0,1.34,2.68,25.43,0,0
3Month,0,0.96,0,0,0,0,0,0,0
22Month,0,0,0,1.64,0,0,0,0,0
