stage,Epithelial_cell,Granulocyte,Macrophage,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,4.09,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0
21Day,0,0,0,0,0,1.34,1.34
3Month,0,0.32,0.32,0,0.32,0,0
