stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0.64,0,0.32,0.32,0.96,0,2.24,0.64,1.6,0.64,0.32,0.32,0.32,0,0.64,0,0,0.32,0,0.64,0,0,0.32,0.32,0.32
22Month,0.55,1.09,5.47,0,0,0.55,4.37,1.09,32.8,2.73,4.37,0.55,1.64,2.73,0,1.64,0,0.55,0,0.55,0.55,0.55,0.55,0,0,0,2.19
