stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,24.52,20.43,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,2.14,3.21,0,0,0,0,0,0,0,0,14.98,0,0,4.28,32.09,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,2.68,9.37,0,6.69,0,1.34,0,0,0,1.34,0,70.94,0,0,4.02,60.23,2.68,0,0,0,0,5.35,1.34,0,0,1.34,2.68,0,0,0,2.68,1.34,0,165.98
3Month,0.32,2.24,9.6,0.32,0,1.92,0,1.28,17.28,0,5.12,11.2,19.2,3.52,1.28,4.48,74.23,13.12,1.92,0,1.6,0.96,0.32,0,1.28,0.32,0,2.24,3.52,0.32,0.32,0,1.92,1.92,478.32
22Month,0,3.28,4.92,0,0,2.19,0.55,1.64,27.88,139.4,33.89,6.01,16.95,2.73,0.55,0,65.05,9.84,0,0.55,0,0,0,0,1.64,0,0,0,4.37,0.55,0.55,0,1.09,0,254.19
