stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,20.33,0,0,0,0,0,0,0,0,0,0,0,1.07,0,21.4,3.21,0,0,4.28,0,0,0,0
21Day,0,0,0,2.68,8.03,1.34,0,0,0,0,0,1.34,0,0,5.35,0,0,1.34,1.34,0,0,0,2.68,0,0,0,1.34
3Month,0,0,0.32,1.28,0.96,0,0,0.32,0,0,5.76,0,0.64,0.64,0.32,0.32,0.64,0.32,0.64,0,0.64,0,0,0.32,0.96,0.64,0
22Month,0,0.55,0,0,1.64,0,0.55,0.55,0.55,0,7.11,0.55,0,0,0.55,0.55,0,0.55,0,0,0.55,0.55,0,0,3.83,0,0
