stage,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,3.21,2.14,1.07,0,0
21Day,0,0,0,0,4.02,0,0,0,0
22Month,0.55,0.55,1.09,0,0,0,0,0.55,0.55
