stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,3.21,0,3.21,0,204.33,12.84,1.07,0,0,0,0
21Day,2.68,0,0,1.34,0,0,1.34,0,0,2.68,0,101.73,2.68,0,1.34,2.68,0,1.34
3Month,0,0.32,0.32,0,0,1.28,0,0,0,0.32,0.32,0,0,0.32,0,0,0.32,0.32
22Month,0,0,0,0,0.55,1.09,0,0,0.55,0,0,0,0,0,0,0.55,0,0
