stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,4.09,0,4.09,0,0,12.26,0,4.09,0,0
72hpf,0,0,0,0,0,18.19,1.07,0,6.42,0,0
21Day,1.34,1.34,0,6.69,2.68,12.05,1.34,1.34,1.34,1.34,1.34
22Month,0,0,0.55,0.55,0,0,0,0,0,0,0
