stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,32.69,0,0,0,0,0,0,0,0,0,0,8.17,167.54,0,0,0,0,0,0,0,0
72hpf,4.28,0,6.42,0,1.07,0,0,0,10.7,0,1.07,0,0,113.4,31.02,3.21,1.07,1.07,1.07,0,2.14,0,0
21Day,2.68,1.34,8.03,1.34,2.68,0,0,1.34,1.34,1.34,2.68,0,2.68,58.9,32.12,0,13.39,0,2.68,0,5.35,1.34,1.34
3Month,0,0,5.76,0,0,0.64,0.64,0,1.28,0,0.32,0.32,0,1.28,0,0,1.6,0,0.32,0.96,0,0,0
22Month,0,0,0,0,0,0,4.92,0,0,0.55,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0
