stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,11.77,0,0,0,0
21Day,0,0,0,0,0,0,1.34,6.69,0,0,0,0
3Month,0.32,0.32,1.28,0.32,0.96,0.32,0,0.32,0.32,2.24,0.64,0.32
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0
