stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,10.7,0,0,0,0,0,0,0,0,1.07,0,12.84,27.81,0,2.14,0,1.07,0,0,2.14,2.14,0,0,1.07,0,0,1.07,0,0,0,0
21Day,1.34,5.35,87,1.34,0,2.68,1.34,1.34,0,0,1.34,14.72,8.03,6.69,36.14,5.35,6.69,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,1.92,2.24,119.34,0,2.56,1.6,12.16,3.84,0,13.12,12.48,1.92,107.82,4.8,38.71,3.52,5.12,1.28,0,1.92,2.56,0.32,0,0.32,0,0,1.28,2.24,0,0.32,1.92,0.64,4.16
22Month,1.64,8.2,30.61,0,1.64,0,11.48,7.65,1.64,24.05,4.37,4.37,167.28,0.55,6.56,8.2,6.56,0,1.09,0.55,0,1.64,0,1.09,0.55,1.09,0,2.73,0,0.55,1.09,0,3.28
