stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,2.14,0,0,0,0,0,1.07,0,0,1.07,0,2.14,0,0,303.82,10.7,2.14,2.14,4.28,1.07,0,4.28,0,0,2.14,0,0,0
21Day,2.68,0,0,2.68,5.35,0,0,0,0,1.34,2.68,0,1.34,1.34,1.34,10.71,0,1.34,227.55,8.03,0,0,2.68,4.02,0,0,1.34,1.34,0,0,0,0
3Month,0,0.32,0,2.24,0,0.32,0.32,0,5.12,1.6,0,1.6,0.64,0.32,0.32,0.64,0,0,0,0,0,0.32,0,0.64,0.64,0,0,0,0,0.64,0.96,0.32
22Month,0.55,1.64,0.55,2.73,0,0,0,12.03,41.55,1.09,2.73,3.83,0,1.09,3.28,3.83,0.55,0.55,0.55,0.55,0.55,0,0.55,0,0,0,0,0,0,0.55,0,1.09
