stage,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,1.34,0,4.02,0,0
3Month,0,0,0.32,0,0,0,3.52,2.24
22Month,1.64,0,0,0,0.55,0,1.09,0
