stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,8.17,0,0,0,12.26,0,0,0,12.26,4.09,53.12,0,4.09,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,1.07,5.35,0,2.14,3.21,1.07,1.07,1.07,2.14,0,0,0
21Day,0,0,4.02,2.68,0,0,0,2.68,1.34,5.35,6.69,2.68,1.34,0,0,0,0,1.34,1.34,1.34
3Month,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
