stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,130.76,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,2.14,0,2.14,2.14,4.28,0,1.07,0,0,0,0,0,0,0,5.35,0,9.63,0,0,0,0,937.14,100.56,3.21,1.07,14.98,0,0,38.51,2.14,0,0,0,0
21Day,2.68,0,0,8.03,1.34,4.02,0,1.34,0,1.34,1.34,0,2.68,1.34,4.02,4.02,0,6.69,0,0,0,0,200.78,38.82,0,2.68,4.02,1.34,0,4.02,2.68,0,0,0,0
3Month,0,0,0,6.72,0.32,0,0.32,0,0,1.92,6.4,0.96,0.32,2.88,0.64,2.24,1.92,14.08,0.96,0.64,0.32,0.32,19.2,2.24,3.52,0.32,0,0.64,53.43,2.24,0,0.64,0.64,55.67,1.92
22Month,0,0.55,0.55,1.64,0,0,0,0,0.55,1.64,28.43,0,0,1.64,0,2.19,3.28,8.75,0,1.09,0.55,0,14.76,0,3.83,0,0,0,8.2,16.95,0,1.64,0,0.55,0
