stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,8.17
72hpf,0,1.07,0,0,0,2.14,2.14,2.14
21Day,1.34,0,1.34,1.34,1.34,0,2.68,1.34
