stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.64,0.32,1.92,0,0.32,0.32,0,0,6.72,0.32,0.96,0.32
22Month,1.09,0,0,1.64,0.55,0.55,0,0,0.55,29.52,0,0,0
