stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,1.07,5.35,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,230.01,8.56,0,0,2.14,0,0,17.12,3.21,0,0,0
21Day,2.68,0,0,5.35,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,16.06,0,0,0,81.65,2.68,0,0,1.34,0,0,6.69,0,0,0,1.34
3Month,0.32,0.96,0.32,4.8,0,0.32,0.64,0.96,0.64,0,14.08,2.56,0,2.88,1.92,0.96,2.88,5.12,1.28,0.96,0.96,0.96,0.32,0.64,1.28,0.32,1.6,3.52,0,0,3.52,286.99,0.32
22Month,1.09,0.55,0.55,1.64,0,0,0,0,2.73,1.09,23.51,1.09,0,6.56,0.55,0.55,1.09,3.28,0,0.55,0,0,0,0,0.55,0.55,0,0.55,0,0,0.55,0.55,2.19
