stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,224.75,4.09,0,0,0,4.09,0,0,0,0,0,4.09,16.35,65.38,0,0,0,0,36.78,269.7,0,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,1.07,4.28,0,11.77,3.21,0,0,0,0,0,0,0,0,0,5.35,0,63.12,0,2.14,0,0,37.44,9.63,1.07,1.07,0,17.12,0,1.07,1.07,1.07,4.28,0,0,0
21Day,1.34,0,1.34,20.08,0,1.34,0,0,0,1.34,0,1.34,1.34,0,1.34,1.34,62.91,0,0,0,0,12.05,9.37,0,0,0,9.37,2.68,8.03,0,4.02,5.35,0,1.34,0
3Month,0.64,0,0.32,28.8,0,0,0.32,1.92,0,5.12,0.96,0,1.28,0.64,7.04,0.64,4.48,9.28,0,0.32,0.32,0,0,0.32,0,0,0.32,0.96,55.03,0,0,1.6,6.08,34.87,1.6
22Month,0,1.09,0,10.39,0,0,0,1.64,0,10.39,0,0.55,2.19,0,2.73,1.09,3.28,0.55,0,0,0,0.55,0,0.55,0,0.55,0,0,23.51,0,0,2.19,0.55,0,0
