stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,14.98,0,1.07,0,0,2.14,0,0,0,37.44,39.58,0,0,0
21Day,6.69,0,8.03,1.34,6.69,0,4.02,0,0,0,1.34,0,1.34,1.34,2.68,10.71,1.34,16.06,1.34,2.68,0,5.35,2.68,2.68,0,0,6.69,5.35,0,0,99.05,393.53,0,0,0
3Month,0.32,0.96,4.8,0,0,0.32,0,0.32,0.96,0,3.84,0.64,0.32,1.6,0.96,0.32,7.36,14.4,0,0,0.96,1.6,0,2.88,0,0,0.32,0.32,3.2,0,3.2,1.28,0.64,0.64,0.32
22Month,0,1.64,5.47,0,0,0,0,0,4.37,0.55,24.6,0,0,6.01,0,0,5.47,4.37,1.09,1.64,0,0,0,16.4,1.09,3.28,0,1.09,1.64,2.19,355.33,0.55,0,0,0
