stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,8.17,16.35,0,0,0,4.09,196.15,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,1.07,1.07,1.07,0,1.07,0,0,0,2.14,0,10.7,17.12,1.07,7.49,3.21,0,0,10.7,17.12,4.28,2.14,1.07,0,2.14,0,0,0,0
21Day,24.09,1.34,1.34,45.51,12.05,20.08,0,0,0,4.02,0,12.05,6.69,0,22.76,5.35,40.16,1.34,1.34,0,8.03,32.12,16.06,6.69,0,5.35,1.34,2.68,0,0,1.34
3Month,0.32,0,0.64,4.16,0,0,0.64,0,0,17.6,0,0.32,4.48,0.64,1.92,2.56,0.64,0,1.28,0.96,0.64,0,0,0.64,3.2,0.32,0,0,0.64,0.64,0
22Month,0,0,0,3.28,0,0,0,0.55,0.55,18.04,1.09,2.19,1.64,1.09,0,0.55,0,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0
