stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,129.44,1.07,1.07,3.21,5.35,0,0,1.07,1.07,0,0
21Day,0,0,4.02,4.02,0,0,0,0,0,1.34,0,0,0,5.35,0,0,66.93,4.02,0,5.35,4.02,1.34,1.34,2.68,8.03,0,1.34
3Month,0,0,0.32,0,0,0.64,0,1.28,0,0,0.64,0,0.64,0.96,0.32,0,0,0,0.32,1.92,0,0,0.32,0.32,0,0.64,0
22Month,0,0,0.55,0,0.55,1.09,0.55,12.03,0.55,0,1.64,0,0.55,1.09,0,0.55,0.55,0,1.09,0.55,0,0,2.19,0,0,0,0.55
