stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,1.07,0,46,5.35,0,1.07,1.07,0,0,1.07,0,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,2.68,0,1.34,0,14.72,1.34,0,1.34,1.34,0,0,0,1.34,0,0,0
3Month,0.64,1.28,6.72,0.32,0.32,0.32,0.32,0.64,1.6,4.16,0.64,3.2,0.96,2.24,1.28,11.2,2.56,0,0.96,1.28,0.96,1.6,0,2.56,0.64,25.28,0.32,0,0.32,8,1.92
22Month,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
