stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,12.26,0,12.26,0,0,0,0,8.17,0,0,0,0,0,24.52,12.26,49.04,0,0,0,0,16.35,388.21,0,0,0,4.09,0,0,0,8.17,0,0,0
72hpf,2.14,0,0,4.28,5.35,0,0,0,0,0,0,1.07,0,0,5.35,0,4.28,0,0,0,0,7.49,5.35,0,1.07,0,8.56,0,3.21,0,0,0,0,0
21Day,1.34,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,2.68,0,0,0,0,5.35,1.34,2.68,0,0,0,0,0
3Month,0.64,1.92,1.28,8.32,0,0.64,0.96,2.56,0,10.56,4.8,0.32,3.84,0.32,0.96,1.92,1.92,0.96,0,0.32,0.64,0,0,0.32,0,0,0.64,1.6,414.97,0.32,0,1.92,169.25,2.56
22Month,0,0.55,0,1.64,0,0,0,1.09,0,2.73,0,0,1.64,0,1.09,0,0,0,0.55,0.55,0,0,0,0,0,33.35,0,0,64.51,0,0,0,0.55,0
