stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,3.21,8.56,0,0,1.07,0,0,0,3.21,0,0,0,0,1.07,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0,0.64,3.2,0,0.32,0.32,0,0,1.6,0.96,0,0.64,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0.96
22Month,2.19,0,3.83,0.55,0,0,1.64,0.55,7.11,0.55,0.55,1.09,2.19,0.55,0,0.55,0,0.55,0,0.55,0,0,0,0,0
