stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,33.16,0,2.14,0,0,0,0,0,0
21Day,0,0,20.08,0,9.37,0,0,1.34,1.34,0,0
3Month,0,0.32,0,0,0,0,0.64,0.64,0,0,0.32
22Month,0.55,0.55,0,0.55,0,0.55,6.56,1.09,0,1.09,0
