stage,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
72hpf,1.07,0,0,0,0,1.07,0,0
21Day,2.68,1.34,2.68,1.34,2.68,0,1.34,1.34
